Incident ID,Stolen,Type,index
1025673, Unknown, Unknown,0.0
1022547, Unknown, 9mm,0.0
1020918, Unknown, Unknown,0.0
1018902, Unknown, Unknown,0.0
1019515, Unknown, Unknown,0.0
1018424, Unknown, Unknown,0.0
1019128, Unknown, Unknown,0.0
1016162, Unknown, Unknown,0.0
1015791, Unknown, Unknown,0.0
1015948, Unknown, Unknown,0.0
1014780, Unknown, 40 SW,0.0
1014251, Unknown, Unknown,0.0
1013165, Unknown, Unknown,0.0
1011595, Unknown, Unknown,0.0
1008570, Unknown, Unknown,0.0
1007370, Unknown, Unknown,0.0
1005355, Unknown, Unknown,0.0
1004187, Unknown, Shotgun,0.0
1003262, Unknown, Unknown,0.0
1002553, Unknown, Unknown,0.0
1001469, Unknown, Unknown,0.0
1299075, Unknown, Handgun,0.0
993889, Unknown, Unknown,0.0
991957, Unknown, Unknown,0.0
987284, Unknown, Unknown,0.0
987118, Unknown, Unknown,0.0
985057, Unknown, Unknown,0.0
985018, Unknown, Unknown,0.0
985609, Unknown, Unknown,0.0
984493, Unknown, Unknown,0.0
984476, Stolen, 9mm,0.0
1014364, Unknown, Unknown,0.0
983400, Unknown, Handgun,0.0
981724, Unknown, 22 LR,0.0
980577, Unknown, 22 LR,0.0
980493, Unknown, Unknown,0.0
978859, Unknown, Unknown,0.0
979099, Stolen, 9mm,0.0
979707, Unknown, Unknown,0.0
975519, Unknown, Unknown,0.0
978056, Unknown, 22 LR,0.0
964421, Unknown, Unknown,0.0
963933, Unknown, Unknown,0.0
963483, Unknown, Unknown,0.0
960036, Unknown, Unknown,0.0
958930, Unknown, 45 Auto,0.0
961710, Unknown, Unknown,0.0
958984, Unknown, Unknown,0.0
957562, Unknown, Unknown,0.0
956519, Unknown, Unknown,0.0
955761, Unknown, Unknown,0.0
955387, Unknown, Unknown,0.0
953863, Unknown, Unknown,0.0
954067, Unknown, Unknown,0.0
950769, Unknown, Unknown,0.0
951109, Unknown, Unknown,0.0
